**Parameter**;**Datatype**;**Value Range**;**Explanation**
name;string;;name of the static generator
type;string;"| naming conventions:
| *""PV""* - photovoltaic system
| *""WP""* - wind power system
| *""CHP""* - combined heating and power system";type of generator
bus*;integer;;index of connected bus
p_A_mw*;float;:math:`\leq` 0;active power of the static generator : Phase A[MW]
q_A_mvar*;float;;reactive power of the static generator : Phase A [MVar]
p_B_mw*;float;:math:`\leq` 0;active power of the static generator : Phase B[MW]
q_B_mvar*;float;;reactive power of the static generator : Phase B [MVar]
p_C_mw*;float;:math:`\leq` 0;active power of the static generator : Phase C[MW]
q_C_mvar*;float;;reactive power of the static generator : Phase C [MVar]
sn_mva;float;:math:`>` 0;rated power ot the static generator [MVA]
scaling*;float;:math:`\geq` 0;scaling factor for the active and reactive power
max_p_mw**;float;;Maximum active power [MW]
min_p_mw**;float;;Minimum active power [MW]
max_q_mvar**;float;;Maximum reactive power [MVar]
min_q_mvar**;float;;Minimum reactive power [MVar]
controllable**;bool;;States if sgen is controllable or not, sgen will not be used as a flexibilty if it is not controllable
k***;float;:math:`\geq` 0;Ratio of nominal current to short circuit current
rx***;float;:math:`\geq` 0;R/X ratio for short circuit impedance. Only relevant if type is specified as motor so that sgen is treated as asynchronous motor
in_service*;boolean;True / False;specifies if the generator is in service.
