**Parameter**;**Datatype**;**Value Range**;**Explanation**
name;string;;name of the generator
type;string;"| naming conventions:
| *""sync""* - synchronous generator
| *""async""* - asynchronous generator
";type variable to classify generators
bus*;integer;;index of connected bus
p_kw*;float;:math:`\leq` 0;the real power of the generator [kW]
vm_pu*;float;;voltage set point of the generator [p.u]
sn_kva;float;:math:`>` 0;nominal power of the generator [kVA]
min_q_kvar;float;;minimal reactive power of the generator [kVar]
max_q_kvar;float;;maximal reactive power of the generator [kVar]
scaling*;float;:math:`\leq` 0;scaling factor for the active power
max_p_kw**;float;;Maximum active power
min_p_kw**;float;;Minimum active power
max_q_kvar**;float;;Maximum reactive power
min_q_kvar**;float;;Minimum reactive power
vn_kv***;float;;Rated voltage of the generator
xdss***;float;:math:`>` 0;Subtransient generator reactance
rdss***;float;:math:`>` 0;Subtransient generator resistence
cos_phi***;float;:math:`0 \leq` 1;Rated generator cosine phi
in_service*;boolean;True / False;specifies if the generator is in service.
