**Parameter**;**Datatype**;**Value Range**;**Explanation**
name;string;;name of the line
std_type;string;;standard type which can be used to easily define line parameters with the pandapower standard type library
from_bus*;integer;;Index of bus where the line starts
to_bus*;integer;;Index of bus where the line ends
length_km*;float;:math:`>` 0;length of the line [km]
r_ohm_per_km*;float;:math:`\geq` 0   ;resistance of the line [Ohm per km]
x_ohm_per_km*;float;:math:`\geq` 0   ;inductance of the line [Ohm per km]
c_nf_per_km*;float;:math:`\geq` 0   ;capacitance of the line [nano Farad per km]
r0_ohm_per_km****;float;:math:`\geq` 0   ;zero sequence resistance of the line [Ohm per km]
x0_ohm_per_km****;float;:math:`\geq` 0   ;zero sequence inductance of the line [Ohm per km]
c0_nf_per_km****;float;:math:`\geq` 0   ;zero sequence capacitance of the line [nano Farad per km]
g_us_per_km*;float;:math:`\geq` 0   ;dielectric conductance of the line [micro Siemens per km]
max_i_ka*;float;:math:`>` 0   ;maximal thermal current [kilo Ampere]
parallel*;integer;:math:`\geq` 1;number of parallel line systems
df*;float;0...1 ;derating factor (scaling) for max_i_ka
type;string;"| Naming conventions:

| *""ol""* - overhead line 
| *""cs""* - underground cable system";type of line
max_loading_percent**;float;:math:`>` 0   ;Maximum loading of the line
endtemp_degree***;float;:math:`>` 0   ;Short-Circuit end temperature of the line
in_service*;boolean;True / False;specifies if the line is in service.
