,id_q_capability_curve,p_mw,q_min_mvar,q_max_mvar
0,0,-63.00999832,-10.01000023,18.01000023
1,0,-20,-27.01000023,32.00999832
2,0,-1,-29.01000023,33.00999832
3,0,0,-28.82818222,32.73727036
4,0,10,-27.01000023,30.01000023
5,0,20,-25.01000023,28.01000023
6,0,30,-23.01000023,25.01000023
7,0,38,-21.01000023,23.01000023
8,0,50,-19.01000023,21.01000023
9,0,51.00999832,-18.01000023,20.01000023
10,1,-40.00999832,-5.010000229,5.010000229
11,1,0,-5.010000229,5.010000229
12,1,40.00999832,-5.010000229,5.010000229
