,id_characteristic,step,voltage_ratio,angle_deg,vk_percent,vkr_percent,vkr_hv_percent,vkr_mv_percent,vkr_lv_percent,vk_hv_percent,vk_mv_percent,vk_lv_percent
0,0,1,1.056666613,0,16.5299996,0.209176484,,,,,,
1,0,2,1.037777782,0,16.43000257,0.210313729,,,,,,
2,0,3,1.018888831,0,16.32999957,0.211450973,,,,,,
3,0,4,1,0,16.23000167,0.212588267,,,,,,
4,0,5,0.99000001,0,16.22176222,0.216951523,,,,,,
5,0,6,0.980000019,0,16.21353032,0.221314877,,,,,,
6,0,7,0.970000029,0,16.20529492,0.225678207,,,,,,
7,1,-5,1.00160718,-3.246266842,19.4996906,0.181380227,,,,,,
8,1,-4,1.001028895,-2.598013878,19.27375038,0.17510416,,,,,,
9,1,-3,1.00057888,-1.949094653,19.04781394,0.168828137,,,,,,
10,1,-2,1.000257373,-1.299674988,18.82187847,0.162552115,,,,,,
11,1,-1,1.000064373,-0.649921119,18.5959397,0.15627607,,,,,,
12,1,0,1,0,18.37000339,0.150000025,,,,,,
13,1,1,1.000064373,0.649921119,17.93187445,0.146578107,,,,,,
14,1,2,1.000257373,1.299675107,17.49375268,0.143156245,,,,,,
15,1,3,1.00057888,1.949094653,17.05562518,0.139734361,,,,,,
16,1,4,1.001028895,2.598013878,16.61749911,0.1363125,,,,,,
17,1,5,1.00160718,3.246266842,16.17937448,0.132890616,,,,,,
