**Parameter**;**Datatype**;**Explanation**
p_hv_mw;float;active power flow at the high voltage transformer bus [MW]
q_hv_mvar;float;reactive power flow at the high voltage transformer bus [MVar]
p_lv_mw;float;active power flow at the low voltage transformer bus [MW]
q_lv_mvar;float;reactive power flow at the low voltage transformer bus [MVar]
pl_mw;float;active power losses of the transformer [MW]
ql_mvar;float;reactive power consumption of the transformer [Mvar]
i_hv_ka;float;current at the high voltage side of the transformer [kA]
i_lv_ka;float;current at the low voltage side of the transformer [kA]
vm_hv_pu;float;voltage magnitude at the high voltage bus [pu]
vm_lv_pu;float;voltage magnitude at the low voltage bus [pu]
va_hv_degree;float;voltage angle at the high voltage bus [degrees]
va_lv_degree;float;voltage angle at the low voltage bus [degrees]
loading_percent;float;load utilization relative to rated power [%]
