**Parameter**;**Datatype**;**Explanation**
p_A_hv_mw;float;active power flow at the high voltage transformer bus : Phase A [MW]
q_A_hv_mvar;float;reactive power flow at the high voltage transformer bus : Phase A [MVar]
p_B_hv_mw;float;active power flow at the high voltage transformer bus : Phase B [MW]
q_B_hv_mvar;float;reactive power flow at the high voltage transformer bus : Phase B [MVar]
p_C_hv_mw;float;active power flow at the high voltage transformer bus : Phase C [MW]
q_C_hv_mvar;float;reactive power flow at the high voltage transformer bus : Phase C [MVar]
p_A_lv_mw;float;active power flow at the low voltage transformer bus : Phase A [MW]
q_A_lv_mvar;float;reactive power flow at the low voltage transformer bus : Phase A [MVar]
p_B_lv_mw;float;active power flow at the low voltage transformer bus : Phase B [MW]
q_B_lv_mvar;float;reactive power flow at the low voltage transformer bus : Phase B [MVar]
p_C_lv_mw;float;active power flow at the low voltage transformer bus : Phase C [MW]
q_C_lv_mvar;float;reactive power flow at the low voltage transformer bus : Phase C [MVar]
pl_A_mw;float;active power losses of the transformer : Phase A [MW]
ql_A_mvar;float;reactive power consumption of the transformer : Phase A [Mvar]
pl_B_mw;float;active power losses of the transformer : Phase B [MW]
ql_B_mvar;float;reactive power consumption of the transformer : Phase B [Mvar]
pl_C_mw;float;active power losses of the transformer : Phase C [MW]
ql_C_mvar;float;reactive power consumption of the transformer : Phase C [Mvar]
i_A_hv_ka;float;current at the high voltage side of the transformer : Phase A [kA]
i_A_lv_ka;float;current at the low voltage side of the transformer : Phase A [kA]
i_B_hv_ka;float;current at the high voltage side of the transformer : Phase B [kA]
i_B_lv_ka;float;current at the low voltage side of the transformer : Phase B [kA]
i_C_hv_ka;float;current at the high voltage side of the transformer : Phase C [kA]
i_C_lv_ka;float;current at the low voltage side of the transformer : Phase C [kA]
loading_percent;float;load utilization relative to rated power [%]
