**Parameter**;**Datatype**;**Explanation**
p_mw;float;total active power consumption of B2B VSC [MW]
q_mvar;float;total reactive power consumption of B2B VSC [MVAr]
vm_internal_pu;float;voltage magnitude at vsc internal bus [pu]
va_internal_degree;float;voltage angle at vsc internal bus [degree]
vm_pu;float;voltage magnitude at B2B VSC ac bus [pu]
va_degree;float;voltage angle at B2B VSC ac bus [degree]
p_dc_mw_p;float;active power of the plus side of the B2B VSC [MW]
p_dc_mw_m;float;active power of the minus side of B2B VSC [MW]
vm_internal_dc_pu_p;float;voltage angle at the plus B2B VSC ac bus [pu]
vm_internal_dc_pu_m;float;voltage angle at the minus B2B VSC ac bus [pu]
vm_dc_pu_p;float;voltage magnitude at the plus B2B VSC ac bus [pu]
vm_dc_pu_m;float;voltage magnitude at the minus B2B VSC ac bus [pu]
