**Parameter**;**Datatype**;**Explanation**
bus.max_vm_pu;float;Maximum voltage
bus.min_vm_pu;float;Minimum voltage
sgen.max_p_kw;float;Maximum active ower
sgen.min_p_kw;float;Minimum active power
sgen.max_q_kvar;float;Maximum reactive ower
sgen.min_q_kvar;float;Minimum reactive power
sgen.controllable;bool;States if sgen is controllable or not, sgen will not be used for optimization if it is not controllable
gen.max_p_kw;float;Maximum active ower
gen.min_p_kw;float;Minimum active power
gen.max_q_kvar;float;Maximum reactive ower
gen.min_q_kvar;float;Minimum reactive power
gen.controllable;bool;States if a gen is controllable or not. Currently gens must be controllable, because there is no method to respect uncontrollable gens yet.
line.max_loading_percent;float;Maximum loading of the line with respect to i_max_ka
trafo.max_loading_percent;float;Maxuimum loading of the transformer with respect to sn_kva and ist corresponding current at 1.0 p.u.
