id;x;y;subnet;voltLvl
coord_0;11.7324;53.7271;HV1_MV1.102;3
coord_1;11.7324;53.7271;MV1.102;5
coord_2;11.7325;53.7276;MV1.102_Feeder1;5
coord_3;11.7325;53.728;MV1.102_Feeder1;5
coord_4;11.7325;53.7283;MV1.102_Feeder1;5
coord_5;11.7347;53.7371;MV1.102_Feeder1;5
coord_6;11.7346;53.7373;MV1.102_Feeder1;5
coord_7;11.7344;53.7378;MV1.102_Feeder1;5
coord_8;11.733;53.7382;MV1.102_Feeder1;5
coord_9;11.7326;53.7382;MV1.102_Feeder1;5
coord_10;11.7324;53.7387;MV1.102_Feeder1;5
coord_11;11.7352;53.7385;MV1.102_Feeder1;5
coord_12;11.7317;53.7363;MV1.102_Feeder1;5
coord_13;11.7319;53.7369;MV1.102_Feeder1;5
coord_14;11.7314;53.7265;MV1.102_Feeder2;5
coord_15;11.731;53.7263;MV1.102_Feeder2;5
coord_16;11.7306;53.726;MV1.102_Feeder2;5
coord_17;11.7267;53.7222;MV1.102_Feeder2;5
coord_18;11.7219;53.717;MV1.102_Feeder2;5
coord_19;11.721;53.7165;MV1.102_Feeder2;5
coord_20;11.7203;53.7161;MV1.102_Feeder2;5
coord_21;11.72;53.716;MV1.102_Feeder2;5
coord_22;11.718;53.7154;MV1.102_Feeder2;5
coord_23;11.7327;53.7217;MV1.102_Feeder3;5
coord_24;11.7336;53.719;MV1.102_Feeder3;5
coord_25;11.7327;53.7159;MV1.102_Feeder3;5
coord_26;11.7356;53.7094;MV1.102_Feeder3;5
coord_27;11.7323;53.7124;MV1.102_Feeder3;5
coord_28;11.7319;53.7275;MV1.102_Feeder4;5
coord_29;11.7363;53.7289;MV1.102_Feeder4;5
coord_30;11.7368;53.729;MV1.102_Feeder4;5
coord_31;11.7372;53.7291;MV1.102_Feeder4;5
coord_32;11.7378;53.7292;MV1.102_Feeder4;5
coord_33;11.7401;53.7295;MV1.102_Feeder4;5
coord_34;11.7428;53.73;MV1.102_Feeder4;5
coord_35;11.7435;53.7301;MV1.102_Feeder4;5
coord_36;11.7442;53.7302;MV1.102_Feeder4;5
coord_37;11.7449;53.7303;MV1.102_Feeder4;5
coord_38;11.7294;53.7305;MV1.102_Feeder5;5
coord_39;11.729;53.7309;MV1.102_Feeder5;5
coord_40;11.7251;53.7408;MV1.102_Feeder5;5
coord_41;11.7251;53.742;MV1.102_Feeder5;5
coord_42;11.7305;53.7456;MV1.102_Feeder5;5
coord_43;11.7322;53.7432;MV1.102_Feeder5;5
coord_44;11.7323;53.7424;MV1.102_Feeder5;5
coord_45;11.7323;53.7411;MV1.102_Feeder5;5
coord_46;11.7292;53.7275;MV1.102_Feeder6;5
coord_47;11.7246;53.7285;MV1.102_Feeder6;5
coord_48;11.7217;53.7292;MV1.102_Feeder6;5
coord_49;11.7171;53.7296;MV1.102_Feeder6;5
coord_50;11.7159;53.7296;MV1.102_Feeder6;5
coord_51;11.7154;53.7296;MV1.102_Feeder6;5
coord_52;11.715;53.7292;MV1.102_Feeder6;5
coord_53;11.7144;53.7288;MV1.102_Feeder6;5
coord_54;11.7141;53.7285;MV1.102_Feeder6;5
coord_55;11.7125;53.7275;MV1.102_Feeder6;5
coord_56;11.7101;53.7241;MV1.102_Feeder6;5
coord_57;11.7094;53.721;MV1.102_Feeder6;5
coord_58;11.7133;53.7164;MV1.102_Feeder6;5
coord_59;11.7141;53.7157;MV1.102_Feeder6;5
coord_60;11.7144;53.7153;MV1.102_Feeder6;5
coord_61;11.7146;53.715;MV1.102_Feeder6;5
coord_62;11.7146;53.7135;MV1.102_Feeder6;5
coord_63;11.7139;53.7124;MV1.102_Feeder6;5
coord_64;11.7134;53.7122;MV1.102_Feeder6;5
coord_65;11.7129;53.7126;MV1.102_Feeder6;5
coord_66;11.7127;53.7131;MV1.102_Feeder6;5
coord_67;11.715;53.7307;MV1.102_Feeder6;5
coord_68;11.7143;53.7317;MV1.102_Feeder6;5
coord_69;11.7314;53.7228;MV1.102_Feeder7;5
coord_70;11.7406;53.716;MV1.102_Feeder7;5
coord_71;11.7407;53.7155;MV1.102_Feeder7;5
coord_72;11.7406;53.7147;MV1.102_Feeder7;5
coord_73;11.7379;53.7137;MV1.102_Feeder7;5
coord_74;11.7365;53.7153;MV1.102_Feeder7;5
coord_75;11.7342;53.7185;MV1.102_Feeder7;5
coord_76;11.7325;53.7269;MV1.102_Feeder8;5
coord_77;11.7327;53.7267;MV1.102_Feeder8;5
coord_78;11.733;53.7265;MV1.102_Feeder8;5
coord_79;11.7332;53.7262;MV1.102_Feeder8;5
coord_80;11.7335;53.726;MV1.102_Feeder8;5
coord_81;11.7339;53.7257;MV1.102_Feeder8;5
coord_82;11.7343;53.7253;MV1.102_Feeder8;5
coord_83;11.7349;53.725;MV1.102_Feeder8;5
coord_84;11.7354;53.7247;MV1.102_Feeder8;5
coord_85;11.7361;53.7244;MV1.102_Feeder8;5
