id;element1;element2;variable;subnet;voltLvl
measurement 1;EHV Bus 1865;NULL;p;EHV1_HV2;1
measurement 2;EHV Bus 1865;NULL;q;EHV1_HV2;1
measurement 3;EHV Bus 1865;NULL;v;EHV1_HV2;1
measurement 4;EHV Bus 482;NULL;p;EHV1;1
measurement 5;EHV Bus 482;NULL;q;EHV1;1
measurement 6;EHV Bus 482;NULL;v;EHV1;1
measurement 7;EHV Bus 2007;NULL;p;EHV1;1
measurement 8;EHV Bus 2007;NULL;q;EHV1;1
measurement 9;EHV Bus 2007;NULL;v;EHV1;1
measurement 10;EHV Bus 845;NULL;p;EHV1;1
measurement 11;EHV Bus 845;NULL;q;EHV1;1
measurement 12;EHV Bus 845;NULL;v;EHV1;1
measurement 13;EHV Bus 2454;NULL;p;EHV1;1
measurement 14;EHV Bus 2454;NULL;q;EHV1;1
measurement 15;EHV Bus 2454;NULL;v;EHV1;1
measurement 16;EHV Bus 2576;NULL;p;EHV1;1
measurement 17;EHV Bus 2576;NULL;q;EHV1;1
measurement 18;EHV Bus 2576;NULL;v;EHV1;1
measurement 19;EHV Bus 858;NULL;p;EHV1;1
measurement 20;EHV Bus 858;NULL;q;EHV1;1
measurement 21;EHV Bus 858;NULL;v;EHV1;1
measurement 22;EHV Bus 1943;NULL;p;EHV1;1
measurement 23;EHV Bus 1943;NULL;q;EHV1;1
measurement 24;EHV Bus 1943;NULL;v;EHV1;1
measurement 25;EHV Bus 94;NULL;p;EHV1;1
measurement 26;EHV Bus 94;NULL;q;EHV1;1
measurement 27;EHV Bus 94;NULL;v;EHV1;1
measurement 28;EHV Bus 352;NULL;p;EHV1;1
measurement 29;EHV Bus 352;NULL;q;EHV1;1
measurement 30;EHV Bus 352;NULL;v;EHV1;1
measurement 31;EHV Bus 961;NULL;p;EHV1;1
measurement 32;EHV Bus 961;NULL;q;EHV1;1
measurement 33;EHV Bus 961;NULL;v;EHV1;1
measurement 34;EHV Bus 363;NULL;p;EHV1;1
measurement 35;EHV Bus 363;NULL;q;EHV1;1
measurement 36;EHV Bus 363;NULL;v;EHV1;1
measurement 37;EHV Bus 2332;NULL;p;EHV1;1
measurement 38;EHV Bus 2332;NULL;q;EHV1;1
measurement 39;EHV Bus 2332;NULL;v;EHV1;1
measurement 40;EHV Bus 1078;NULL;p;EHV1;1
measurement 41;EHV Bus 1078;NULL;q;EHV1;1
measurement 42;EHV Bus 1078;NULL;v;EHV1;1
measurement 43;EHV Bus 851;NULL;p;EHV1;1
measurement 44;EHV Bus 851;NULL;q;EHV1;1
measurement 45;EHV Bus 851;NULL;v;EHV1;1
measurement 46;EHV Bus 2506;NULL;p;EHV1;1
measurement 47;EHV Bus 2506;NULL;q;EHV1;1
measurement 48;EHV Bus 2506;NULL;v;EHV1;1
measurement 49;EHV Bus 946;NULL;p;EHV1;1
measurement 50;EHV Bus 946;NULL;q;EHV1;1
measurement 51;EHV Bus 946;NULL;v;EHV1;1
measurement 52;EHV Bus 1942;NULL;p;EHV1;1
measurement 53;EHV Bus 1942;NULL;q;EHV1;1
measurement 54;EHV Bus 1942;NULL;v;EHV1;1
measurement 55;EHV Bus 1028;NULL;p;EHV1;1
measurement 56;EHV Bus 1028;NULL;q;EHV1;1
measurement 57;EHV Bus 1028;NULL;v;EHV1;1
measurement 58;EHV Bus 2967;NULL;p;EHV1;1
measurement 59;EHV Bus 2967;NULL;q;EHV1;1
measurement 60;EHV Bus 2967;NULL;v;EHV1;1
measurement 61;EHV Bus 1699;NULL;p;EHV1;1
measurement 62;EHV Bus 1699;NULL;q;EHV1;1
measurement 63;EHV Bus 1699;NULL;v;EHV1;1
measurement 64;EHV Bus 1938;NULL;p;EHV1;1
measurement 65;EHV Bus 1938;NULL;q;EHV1;1
measurement 66;EHV Bus 1938;NULL;v;EHV1;1
measurement 67;EHV Bus 694;NULL;p;EHV1;1
measurement 68;EHV Bus 694;NULL;q;EHV1;1
measurement 69;EHV Bus 694;NULL;v;EHV1;1
measurement 70;EHV Bus 2185;NULL;p;EHV1;1
measurement 71;EHV Bus 2185;NULL;q;EHV1;1
measurement 72;EHV Bus 2185;NULL;v;EHV1;1
measurement 73;EHV Bus 1221;NULL;p;EHV1;1
measurement 74;EHV Bus 1221;NULL;q;EHV1;1
measurement 75;EHV Bus 1221;NULL;v;EHV1;1
measurement 76;EHV Bus 888;NULL;p;EHV1;1
measurement 77;EHV Bus 888;NULL;q;EHV1;1
measurement 78;EHV Bus 888;NULL;v;EHV1;1
measurement 79;EHV Bus 920;NULL;p;EHV1;1
measurement 80;EHV Bus 920;NULL;q;EHV1;1
measurement 81;EHV Bus 920;NULL;v;EHV1;1
measurement 82;EHV Bus 228;NULL;p;EHV1;1
measurement 83;EHV Bus 228;NULL;q;EHV1;1
measurement 84;EHV Bus 228;NULL;v;EHV1;1
measurement 85;EHV Bus 1606;NULL;p;EHV1;1
measurement 86;EHV Bus 1606;NULL;q;EHV1;1
measurement 87;EHV Bus 1606;NULL;v;EHV1;1
measurement 88;EHV Bus 893;NULL;p;EHV1;1
measurement 89;EHV Bus 893;NULL;q;EHV1;1
measurement 90;EHV Bus 893;NULL;v;EHV1;1
measurement 91;EHV Bus 478;NULL;p;EHV1;1
measurement 92;EHV Bus 478;NULL;q;EHV1;1
measurement 93;EHV Bus 478;NULL;v;EHV1;1
measurement 94;EHV Bus 912;NULL;p;EHV1;1
measurement 95;EHV Bus 912;NULL;q;EHV1;1
measurement 96;EHV Bus 912;NULL;v;EHV1;1
measurement 97;EHV Bus 2126;NULL;p;EHV1;1
measurement 98;EHV Bus 2126;NULL;q;EHV1;1
measurement 99;EHV Bus 2126;NULL;v;EHV1;1
measurement 100;EHV Bus 1615;NULL;p;EHV1;1
measurement 101;EHV Bus 1615;NULL;q;EHV1;1
measurement 102;EHV Bus 1615;NULL;v;EHV1;1
measurement 103;EHV Bus 1705;NULL;p;EHV1;1
measurement 104;EHV Bus 1705;NULL;q;EHV1;1
measurement 105;EHV Bus 1705;NULL;v;EHV1;1
measurement 106;EHV Bus 3028;NULL;p;EHV1;1
measurement 107;EHV Bus 3028;NULL;q;EHV1;1
measurement 108;EHV Bus 3028;NULL;v;EHV1;1
measurement 109;EHV Bus 2408;NULL;p;EHV1;1
measurement 110;EHV Bus 2408;NULL;q;EHV1;1
measurement 111;EHV Bus 2408;NULL;v;EHV1;1
measurement 112;EHV Bus 1539;NULL;p;EHV1;1
measurement 113;EHV Bus 1539;NULL;q;EHV1;1
measurement 114;EHV Bus 1539;NULL;v;EHV1;1
measurement 115;EHV Bus 2173;NULL;p;EHV1;1
measurement 116;EHV Bus 2173;NULL;q;EHV1;1
measurement 117;EHV Bus 2173;NULL;v;EHV1;1
measurement 118;EHV Bus 430;NULL;p;EHV1;1
measurement 119;EHV Bus 430;NULL;q;EHV1;1
measurement 120;EHV Bus 430;NULL;v;EHV1;1
measurement 121;EHV Bus 2893;NULL;p;EHV1;1
measurement 122;EHV Bus 2893;NULL;q;EHV1;1
measurement 123;EHV Bus 2893;NULL;v;EHV1;1
measurement 124;EHV Bus 2501;NULL;p;EHV1;1
measurement 125;EHV Bus 2501;NULL;q;EHV1;1
measurement 126;EHV Bus 2501;NULL;v;EHV1;1
measurement 127;EHV Bus 729;NULL;p;EHV1;1
measurement 128;EHV Bus 729;NULL;q;EHV1;1
measurement 129;EHV Bus 729;NULL;v;EHV1;1
measurement 130;EHV Bus 516;NULL;p;EHV1;1
measurement 131;EHV Bus 516;NULL;q;EHV1;1
measurement 132;EHV Bus 516;NULL;v;EHV1;1
measurement 133;EHV Bus 1486;NULL;p;EHV1;1
measurement 134;EHV Bus 1486;NULL;q;EHV1;1
measurement 135;EHV Bus 1486;NULL;v;EHV1;1
measurement 136;EHV Bus 1916;NULL;p;EHV1;1
measurement 137;EHV Bus 1916;NULL;q;EHV1;1
measurement 138;EHV Bus 1916;NULL;v;EHV1;1
measurement 139;EHV Bus 613;NULL;p;EHV1;1
measurement 140;EHV Bus 613;NULL;q;EHV1;1
measurement 141;EHV Bus 613;NULL;v;EHV1;1
measurement 142;EHV Bus 1954;NULL;p;EHV1;1
measurement 143;EHV Bus 1954;NULL;q;EHV1;1
measurement 144;EHV Bus 1954;NULL;v;EHV1;1
measurement 145;EHV Bus 2504;NULL;p;EHV1;1
measurement 146;EHV Bus 2504;NULL;q;EHV1;1
measurement 147;EHV Bus 2504;NULL;v;EHV1;1
measurement 148;EHV Bus 1993;NULL;p;EHV1;1
measurement 149;EHV Bus 1993;NULL;q;EHV1;1
measurement 150;EHV Bus 1993;NULL;v;EHV1;1
measurement 151;EHV Bus 2069;NULL;p;EHV1;1
measurement 152;EHV Bus 2069;NULL;q;EHV1;1
measurement 153;EHV Bus 2069;NULL;v;EHV1;1
measurement 154;EHV Bus 381;NULL;p;EHV1;1
measurement 155;EHV Bus 381;NULL;q;EHV1;1
measurement 156;EHV Bus 381;NULL;v;EHV1;1
measurement 157;EHV Bus 2142;NULL;p;EHV1;1
measurement 158;EHV Bus 2142;NULL;q;EHV1;1
measurement 159;EHV Bus 2142;NULL;v;EHV1;1
measurement 160;EHV Bus 1931;NULL;p;EHV1;1
measurement 161;EHV Bus 1931;NULL;q;EHV1;1
measurement 162;EHV Bus 1931;NULL;v;EHV1;1
measurement 163;EHV Bus 1664;NULL;p;EHV1;1
measurement 164;EHV Bus 1664;NULL;q;EHV1;1
measurement 165;EHV Bus 1664;NULL;v;EHV1;1
measurement 166;EHV Bus 937;NULL;p;EHV1;1
measurement 167;EHV Bus 937;NULL;q;EHV1;1
measurement 168;EHV Bus 937;NULL;v;EHV1;1
measurement 169;EHV Bus 2440;NULL;p;EHV1;1
measurement 170;EHV Bus 2440;NULL;q;EHV1;1
measurement 171;EHV Bus 2440;NULL;v;EHV1;1
measurement 172;EHV Bus 1558;NULL;p;EHV1;1
measurement 173;EHV Bus 1558;NULL;q;EHV1;1
measurement 174;EHV Bus 1558;NULL;v;EHV1;1
measurement 175;EHV Bus 2309;NULL;p;EHV1;1
measurement 176;EHV Bus 2309;NULL;q;EHV1;1
measurement 177;EHV Bus 2309;NULL;v;EHV1;1
measurement 178;EHV Bus 2170;NULL;p;EHV1;1
measurement 179;EHV Bus 2170;NULL;q;EHV1;1
measurement 180;EHV Bus 2170;NULL;v;EHV1;1
measurement 181;EHV Bus 1902;NULL;p;EHV1;1
measurement 182;EHV Bus 1902;NULL;q;EHV1;1
measurement 183;EHV Bus 1902;NULL;v;EHV1;1
measurement 184;EHV Bus 2340;NULL;p;EHV1;1
measurement 185;EHV Bus 2340;NULL;q;EHV1;1
measurement 186;EHV Bus 2340;NULL;v;EHV1;1
measurement 187;EHV Bus 1698;NULL;p;EHV1;1
measurement 188;EHV Bus 1698;NULL;q;EHV1;1
measurement 189;EHV Bus 1698;NULL;v;EHV1;1
measurement 190;EHV Bus 360;NULL;p;EHV1;1
measurement 191;EHV Bus 360;NULL;q;EHV1;1
measurement 192;EHV Bus 360;NULL;v;EHV1;1
measurement 193;EHV Bus 2276;NULL;p;EHV1;1
measurement 194;EHV Bus 2276;NULL;q;EHV1;1
measurement 195;EHV Bus 2276;NULL;v;EHV1;1
measurement 196;EHV Bus 1646;NULL;p;EHV1;1
measurement 197;EHV Bus 1646;NULL;q;EHV1;1
measurement 198;EHV Bus 1646;NULL;v;EHV1;1
measurement 199;EHV Bus 899;NULL;p;EHV1;1
measurement 200;EHV Bus 899;NULL;q;EHV1;1
measurement 201;EHV Bus 899;NULL;v;EHV1;1
measurement 202;EHV Bus 941;NULL;p;EHV1;1
measurement 203;EHV Bus 941;NULL;q;EHV1;1
measurement 204;EHV Bus 941;NULL;v;EHV1;1
measurement 205;EHV Bus 2244;NULL;p;EHV1;1
measurement 206;EHV Bus 2244;NULL;q;EHV1;1
measurement 207;EHV Bus 2244;NULL;v;EHV1;1
