id;nodeA;nodeB;type;length;loadingMax;subnet;voltLvl
MV1.102 Line 1;MV1.102 busbar1.1_2;MV1.102 Bus 4_1;NA2XS2Y 1x70 RM/25 12/20 kV;0.3;100;MV1.102_Feeder1;5
MV1.102 Line 2;MV1.102 Bus 4_2;MV1.102 Bus 5_1;NA2XS2Y 1x70 RM/25 12/20 kV;0.25;100;MV1.102_Feeder1;5
MV1.102 Line 3;MV1.102 Bus 5_2;MV1.102 Bus 6_1;NA2XS2Y 1x70 RM/25 12/20 kV;0.2;100;MV1.102_Feeder1;5
MV1.102 Line 4;MV1.102 Bus 6_2;MV1.102 Bus 7_1;70-AL1/11-ST1A 20.0;4.9;100;MV1.102_Feeder1;5
MV1.102 Line 5;MV1.102 Bus 7_2;MV1.102 Bus 8_1;NA2XS2Y 1x70 RM/25 12/20 kV;0.15;100;MV1.102_Feeder1;5
MV1.102 Line 6;MV1.102 Bus 8_2;MV1.102 Bus 9_1;NA2XS2Y 1x70 RM/25 12/20 kV;0.3;100;MV1.102_Feeder1;5
MV1.102 Line 7;MV1.102 Bus 9_2;MV1.102 Bus 10_1;NA2XS2Y 1x70 RM/25 12/20 kV;0.8;100;MV1.102_Feeder1;5
MV1.102 Line 8;MV1.102 Bus 10_2;MV1.102 Bus 11_1;NA2XS2Y 1x70 RM/25 12/20 kV;0.25;100;MV1.102_Feeder1;5
MV1.102 Line 9;MV1.102 Bus 11_2;MV1.102 Bus 12_1;NA2XS2Y 1x70 RM/25 12/20 kV;0.36;100;MV1.102_Feeder1;5
MV1.102 Line 10;MV1.102 Bus 9_3;MV1.102 Bus 13_1;NA2XS2Y 1x70 RM/25 12/20 kV;0.6;100;MV1.102_Feeder1;5
MV1.102 Line 11;MV1.102 Bus 6_3;MV1.102 Bus 14_1;34-AL1/6-ST1A 20.0;4.2;100;MV1.102_Feeder1;5
MV1.102 Line 12;MV1.102 Bus 14_2;MV1.102 Bus 15_1;34-AL1/6-ST1A 20.0;0.4;100;MV1.102_Feeder1;5
MV1.102 Line 13;MV1.102 busbar1.1_3;MV1.102 Bus 16_1;NA2XS2Y 1x120 RM/25 12/20 kV;0.6;100;MV1.102_Feeder2;5
MV1.102 Line 14;MV1.102 Bus 16_2;MV1.102 Bus 17_1;NA2XS2Y 1x120 RM/25 12/20 kV;0.25;100;MV1.102_Feeder2;5
MV1.102 Line 15;MV1.102 Bus 17_2;MV1.102 Bus 18_1;NA2XS2Y 1x120 RM/25 12/20 kV;0.35;100;MV1.102_Feeder2;5
MV1.102 Line 16;MV1.102 Bus 18_2;MV1.102 Bus 19_1;70-AL1/11-ST1A 20.0;2.9;100;MV1.102_Feeder2;5
MV1.102 Line 17;MV1.102 Bus 19_2;MV1.102 Bus 20_1;70-AL1/11-ST1A 20.0;3.6;100;MV1.102_Feeder2;5
MV1.102 Line 18;MV1.102 Bus 20_2;MV1.102 Bus 21_1;NA2XS2Y 1x70 RM/25 12/20 kV;0.6;100;MV1.102_Feeder2;5
MV1.102 Line 19;MV1.102 Bus 21_2;MV1.102 Bus 22_1;NA2XS2Y 1x70 RM/25 12/20 kV;0.5;100;MV1.102_Feeder2;5
