id;r;x;b;iMax;type
NAYY 4x150SE 0.6/1kV;0.2067;0.0804248;260.752;270;cable
NAYY 4x240SE 0.6/1kV;0.1267;0.0797965;273.319;357;cable
15-AL1/3-ST1A 20.0;1.8769;0.409;3.45575;105;ohl
1x630_RM/50;0.122;0.122522;58.7478;652;cable
24-AL1/4-ST1A 20.0;1.2012;0.394;3.53429;140;ohl
34-AL1/6-ST1A 20.0;0.8342;0.382;2.87456;170;ohl
48-AL1/8-ST1A 20.0;0.5939;0.372;2.98451;210;ohl
70-AL1/11-ST1A 20.0;0.4132;0.36;3.04734;290;ohl
Al/St_265/35;0.1095;0.296;2.8274;680;ohl
LineType_1;0.08;0.32;3.61283;1300;ohl
LineType_10;0.0125;0.125;8.60796;5200;ohl
LineType_11;0.008333;0.083333;12.9119;7800;ohl
LineType_12;0.00625;0.0625;17.2159;10400;ohl
LineType_2;0.025;0.25;4.30398;2600;ohl
LineType_3;0.05;0.5;2.15199;1300;ohl
LineType_4;0.033333;0.333333;3.22799;1950;ohl
LineType_5;0.04;0.16;7.22566;2600;ohl
LineType_6;0.1;1;1.076;650;ohl
LineType_7;0.16;0.64;1.80642;650;ohl
LineType_8;0.053333;0.213333;5.41925;1950;ohl
LineType_9;0.016667;0.166667;6.45597;3900;ohl
NA2XS2Y 1x120 RM/25 12/20 kV;0.253;0.119;72.2566;283;cable
NA2XS2Y 1x150 RM/25 12/20 kV;0.206;0.116;78.5398;319;cable
NA2XS2Y 1x150 RM/25 6/10 kV;0.206;0.11;113.097;315;cable
NA2XS2Y 1x185 RM/25 12/20 kV;0.161;0.117;85.7655;362;cable
NA2XS2Y 1x185 RM/25 6/10 kV;0.161;0.11;127.549;358;cable
NA2XS2Y 1x240 RM/25 6/10 kV;0.122;0.105;143.257;416;cable
NA2XS2Y 1x300 RM/25 6/10 kV;0.1;0.0974;150.796;471;cable
NA2XS2Y 1x400 RM/25 6/10 kV;0.078;0.0942;169.646;535;cable
NA2XS2Y 1x50 RM/25 12/20 kV;0.64;0.145;59.3761;158;cable
NA2XS2Y 1x70 RM/25 12/20 kV;0.443;0.132;59.6903;220;cable
NA2XS2Y 1x95 RM/25 12/20 kV;0.313;0.132;67.8584;252;cable
