id;node;type;profile;calc_type;pRES;qRES;sR;subnet;voltLvl
MV1.102 SGen 1;MV1.102 busbar1.1;Wind_MV;WP4;pq;2;0;2;MV1.102;5
MV1.102 SGen 2;MV1.102 Bus 4;lv_RES;lv_rural1;pq;0.16;0;0.16;MV1.102_LV1.101_eq;5
MV1.102 SGen 3;MV1.102 Bus 5;lv_RES;lv_rural1;pq;0.16;0;0.16;MV1.102_LV1.102_eq;5
MV1.102 SGen 4;MV1.102 Bus 6;lv_RES;lv_rural1;pq;0.16;0;0.16;MV1.102_LV1.103_eq;5
MV1.102 SGen 5;MV1.102 Bus 7;lv_RES;lv_rural1;pq;0.16;0;0.16;MV1.102_LV1.104_eq;5
MV1.102 SGen 6;MV1.102 Bus 8;lv_RES;lv_rural2;pq;0.145;0;0.145;MV1.102_LV2.101_eq;5
MV1.102 SGen 7;MV1.102 Bus 9;lv_RES;lv_rural2;pq;0.145;0;0.145;MV1.102_LV2.102_eq;5
MV1.102 SGen 8;MV1.102 Bus 10;lv_RES;lv_rural2;pq;0.145;0;0.145;MV1.102_LV2.103_eq;5
MV1.102 SGen 9;MV1.102 Bus 11;lv_RES;lv_rural2;pq;0.145;0;0.145;MV1.102_LV2.104_eq;5
MV1.102 SGen 10;MV1.102 Bus 12;lv_RES;lv_rural3;pq;0.19;0;0.19;MV1.102_LV3.101_eq;5
MV1.102 SGen 11;MV1.102 Bus 13;lv_RES;lv_rural2;pq;0.145;0;0.145;MV1.102_LV2.105_eq;5
MV1.102 SGen 12;MV1.102 Bus 16;lv_RES;lv_rural2;pq;0.145;0;0.145;MV1.102_LV2.106_eq;5
MV1.102 SGen 13;MV1.102 Bus 17;lv_RES;lv_rural3;pq;0.19;0;0.19;MV1.102_LV3.102_eq;5
MV1.102 SGen 14;MV1.102 Bus 18;lv_RES;lv_rural2;pq;0.145;0;0.145;MV1.102_LV2.107_eq;5
MV1.102 SGen 15;MV1.102 Bus 19;lv_RES;lv_rural1;pq;0.16;0;0.16;MV1.102_LV1.105_eq;5
MV1.102 SGen 16;MV1.102 Bus 20;lv_RES;lv_rural1;pq;0.16;0;0.16;MV1.102_LV1.106_eq;5
MV1.102 SGen 17;MV1.102 Bus 21;lv_RES;lv_rural1;pq;0.16;0;0.16;MV1.102_LV1.107_eq;5
MV1.102 SGen 18;MV1.102 Bus 22;lv_RES;lv_rural1;pq;0.16;0;0.16;MV1.102_LV1.108_eq;5
