id;sR;vmHV;vmLV;va0;vmImp;pCu;pFe;iNoLoad;tapable;tapside;dVm;dVa;tapNeutr;tapMin;tapMax
0.4 MVA 10/0.4 kV Dyn5 ASEA;0.4;10;0.4;150;6;4.8;1.2;0.30001;1;HV;2.5;0;0;-2;2
0.63 MVA 10/0.4 kV Dyn5 ASEA;0.63;10;0.4;150;6;6.9;1.65;0.261915;1;HV;2.5;0;0;-2;2
0.16 MVA 20/0.4 kV DOTE 160/20  SGB;0.16;20;0.4;150;4;2.35;0.46;0.28751;1;HV;2.5;0;0;-2;2
0.25 MVA 20/0.4 kV Dyn5 ASEA;0.25;20;0.4;150;6;3.3;0.88;0.35201;1;HV;2.5;0;0;-2;2
0.4 MVA 20/0.4 kV Dyn5 ASEA;0.4;20;0.4;150;6;4.8;1.2;0.30001;1;HV;2.5;0;0;-2;2
0.63 MVA 20/0.4 kV Dyn5 ASEA;0.63;20;0.4;150;6;6.9;1.65;0.261915;1;HV;2.5;0;0;-2;2
25 MVA 110/20 kV YNd5;25;110;20;150;12;102.5;14;0.07;1;HV;1.5;0;0;-9;9
300MVA_220/110;300;220;110;0;12;385;70;0.04;1;HV;1;0;0;-16;16
350MVA_380/110;350;380;110;0;22;900;120;0.06;1;HV;1;0;0;-16;16
40 MVA 110/20 kV YNd5;40;110;20;150;16.2;136;18;0.05;1;HV;1.5;0;0;-9;9
63 MVA 110/10 kV YNd5;63;110;10;150;18;201.6;22;0.04;1;HV;1.5;0;0;-9;9
Typ_x_380/220;600;380;220;0;18.5;1500;250;0.042;1;HV;1;0;0;-16;16
