id;node;type;profile;pStor;qStor;chargeLevel;sR;max_e_mwh;efficiency_percent;self-discharge_percent_per_day;pMin;pMax;qMin;qMax;subnet;voltLvl
EHV Storage 1;EHV Bus 143;Storage;hv_mixed;-111.809;0;0.5;111.809;189.976;0.95;0.13;-111.809;0;-111.809;111.809;EHV1_HV1;1
EHV Storage 2;EHV Bus 57;Storage;hv_mixed;-111.809;0;0.5;111.809;189.976;0.95;0.13;-111.809;0;-111.809;111.809;EHV1_HV1;1
EHV Storage 3;EHV Bus 1649;Storage;hv_mixed;-111.809;0;0.5;111.809;189.976;0.95;0.13;-111.809;0;-111.809;111.809;EHV1_HV1;1
EHV Storage 4;EHV Bus 1865;Storage;hv_urban;-111.518;0;0.5;111.518;189.385;0.95;0.13;-111.518;0;-111.518;111.518;EHV1_HV2;1
HV1 Storage 1;HV1 Bus 49;PV_Storage;mv_rural;-6.289;0;0.5;6.289;12.5731;0.95;0.13;-6.289;0;-6.289;6.289;HV1;3
HV1 Storage 2;HV1 Bus 66;PV_Storage;mv_rural;-6.289;0;0.5;6.289;12.5731;0.95;0.13;-6.289;0;-6.289;6.289;HV1;3
HV1 Storage 3;HV1 Bus 69;PV_Storage;mv_rural;-6.289;0;0.5;6.289;12.5731;0.95;0.13;-6.289;0;-6.289;6.289;HV1;3
HV1 Storage 4;HV1 Bus 75;PV_Storage;mv_rural;-6.289;0;0.5;6.289;12.5731;0.95;0.13;-6.289;0;-6.289;6.289;HV1;3
HV1 Storage 5;HV1 Bus 102;PV_Storage;mv_rural;-6.289;0;0.5;6.289;12.5731;0.95;0.13;-6.289;0;-6.289;6.289;HV1;3
HV1 Storage 6;HV1 Bus 19;PV_Storage;mv_semiurb;-6.289;0;0.5;6.289;12.5731;0.95;0.13;-6.289;0;-6.289;6.289;HV1;3
HV1 Storage 7;HV1 Bus 89;PV_Storage;mv_semiurb;-6.289;0;0.5;6.289;12.5731;0.95;0.13;-6.289;0;-6.289;6.289;HV1;3
HV1 Storage 8;HV1 Bus 93;PV_Storage;mv_semiurb;-6.289;0;0.5;6.289;12.5731;0.95;0.13;-6.289;0;-6.289;6.289;HV1;3
HV1 Storage 9;HV1 Bus 25;PV_Storage;mv_urban;-19.4661;0;0.5;19.4661;27.7325;0.95;0.13;-19.4661;0;-19.4661;19.4661;HV1;3
HV1 Storage 10;HV1 Bus 47;PV_Storage;mv_urban;-19.4661;0;0.5;19.4661;27.7325;0.95;0.13;-19.4661;0;-19.4661;19.4661;HV1;3
HV1 Storage 11;HV1 Bus 55;PV_Storage;mv_urban;-19.4661;0;0.5;19.4661;27.7325;0.95;0.13;-19.4661;0;-19.4661;19.4661;HV1;3
HV1 Storage 12;HV1 Bus 41;PV_Storage;mv_rural;-3.0991;0;0.5;3.0991;6.19431;0.95;0.13;-3.0991;0;-3.0991;3.0991;HV1;3
HV2 Storage 1;HV2 Bus 59;PV_Storage;mv_rural;-6.289;0;0.5;6.289;12.5731;0.95;0.13;-6.289;0;-6.289;6.289;HV2;3
HV2 Storage 2;HV2 Bus 96;PV_Storage;mv_rural;-6.289;0;0.5;6.289;12.5731;0.95;0.13;-6.289;0;-6.289;6.289;HV2;3
HV2 Storage 3;HV2 Bus 204;PV_Storage;mv_rural;-6.289;0;0.5;6.289;12.5731;0.95;0.13;-6.289;0;-6.289;6.289;HV2;3
HV2 Storage 4;HV2 Bus 304;PV_Storage;mv_rural;-6.289;0;0.5;6.289;12.5731;0.95;0.13;-6.289;0;-6.289;6.289;HV2;3
HV2 Storage 5;HV2 Bus 347;PV_Storage;mv_rural;-6.289;0;0.5;6.289;12.5731;0.95;0.13;-6.289;0;-6.289;6.289;HV2;3
HV2 Storage 6;HV2 Bus 86;PV_Storage;mv_semiurb;-19.4661;0;0.5;19.4661;27.7325;0.95;0.13;-19.4661;0;-19.4661;19.4661;HV2;3
HV2 Storage 7;HV2 Bus 310;PV_Storage;mv_semiurb;-19.4661;0;0.5;19.4661;27.7325;0.95;0.13;-19.4661;0;-19.4661;19.4661;HV2;3
HV2 Storage 8;HV2 Bus 290;PV_Storage;mv_semiurb;-19.4661;0;0.5;19.4661;27.7325;0.95;0.13;-19.4661;0;-19.4661;19.4661;HV2;3
