time,mult
00:01:00,0.051
00:02:00,0.051
00:03:00,0.051
00:04:00,0.051
00:05:00,0.051
00:06:00,0.051
00:07:00,0.051
00:08:00,0.051
00:09:00,0.051
00:10:00,0.051
00:11:00,0.051
00:12:00,0.051
00:13:00,0.051
00:14:00,0.051
00:15:00,0.051
00:16:00,0.051
00:17:00,0.051
00:18:00,0.051
00:19:00,0.051
00:20:00,0.051
00:21:00,0.051
00:22:00,0.051
00:23:00,0.051
00:24:00,0.051
00:25:00,0.051
00:26:00,0.051
00:27:00,0.051
00:28:00,0.051
00:29:00,0.051
00:30:00,0.051
00:31:00,0.051
00:32:00,0.051
00:33:00,0.051
00:34:00,0.051
00:35:00,0.051
00:36:00,0.051
00:37:00,0.051
00:38:00,0.051
00:39:00,0.051
00:40:00,0.051
00:41:00,0.051
00:42:00,0.051
00:43:00,0.051
00:44:00,0.051
00:45:00,0.051
00:46:00,0.051
00:47:00,0.051
00:48:00,0.051
00:49:00,0.155
00:50:00,0.155
00:51:00,0.155
00:52:00,0.155
00:53:00,0.155
00:54:00,0.155
00:55:00,0.155
00:56:00,0.371
00:57:00,0.371
00:58:00,0.371
00:59:00,0.371
01:00:00,0.371
01:01:00,0.371
01:02:00,0.371
01:03:00,0.371
01:04:00,0.371
01:05:00,0.371
01:06:00,0.371
01:07:00,0.267
01:08:00,0.267
01:09:00,0.267
01:10:00,0.267
01:11:00,0.267
01:12:00,0.267
01:13:00,0.267
01:14:00,0.267
01:15:00,0.267
01:16:00,0.267
01:17:00,0.267
01:18:00,0.051
01:19:00,0.051
01:20:00,0.051
01:21:00,0.051
01:22:00,0.051
01:23:00,0.051
01:24:00,0.051
01:25:00,0.051
01:26:00,0.051
01:27:00,0.051
01:28:00,0.051
01:29:00,0.051
01:30:00,0.051
01:31:00,0.051
01:32:00,0.051
01:33:00,0.051
01:34:00,0.051
01:35:00,0.051
01:36:00,0.051
01:37:00,0.051
01:38:00,0.051
01:39:00,0.051
01:40:00,0.051
01:41:00,0.051
01:42:00,0.051
01:43:00,0.051
01:44:00,0.051
01:45:00,0.051
01:46:00,0.051
01:47:00,0.051
01:48:00,0.051
01:49:00,0.051
01:50:00,0.051
01:51:00,0.051
01:52:00,0.051
01:53:00,0.051
01:54:00,0.051
01:55:00,0.051
01:56:00,0.051
01:57:00,0.051
01:58:00,0.051
01:59:00,0.051
02:00:00,0.051
02:01:00,0.051
02:02:00,0.051
02:03:00,0.051
02:04:00,0.051
02:05:00,0.051
02:06:00,0.051
02:07:00,0.051
02:08:00,0.051
02:09:00,0.051
02:10:00,0.051
02:11:00,0.051
02:12:00,0.051
02:13:00,0.051
02:14:00,0.267
02:15:00,0.267
02:16:00,0.267
02:17:00,0.267
02:18:00,0.267
02:19:00,0.267
02:20:00,0.371
02:21:00,0.371
02:22:00,0.371
02:23:00,0.371
02:24:00,0.371
02:25:00,0.371
02:26:00,0.371
02:27:00,0.371
02:28:00,0.371
02:29:00,0.371
02:30:00,0.371
02:31:00,0.371
02:32:00,0.371
02:33:00,0.371
02:34:00,0.371
02:35:00,0.371
02:36:00,0.155
02:37:00,0.155
02:38:00,0.051
02:39:00,0.051
02:40:00,0.051
02:41:00,0.051
02:42:00,0.051
02:43:00,0.051
02:44:00,0.051
02:45:00,0.051
02:46:00,0.051
02:47:00,0.051
02:48:00,0.051
02:49:00,0.051
02:50:00,0.051
02:51:00,0.051
02:52:00,0.051
02:53:00,0.051
02:54:00,0.051
02:55:00,0.051
02:56:00,0.051
02:57:00,0.051
02:58:00,0.051
02:59:00,0.051
03:00:00,0.051
03:01:00,0.051
03:02:00,0.051
03:03:00,0.051
03:04:00,0.051
03:05:00,0.051
03:06:00,0.051
03:07:00,0.051
03:08:00,0.051
03:09:00,0.051
03:10:00,0.051
03:11:00,0.051
03:12:00,0.051
03:13:00,0.051
03:14:00,0.051
03:15:00,0.051
03:16:00,0.051
03:17:00,0.051
03:18:00,0.051
03:19:00,0.051
03:20:00,0.051
03:21:00,0.051
03:22:00,0.051
03:23:00,0.051
03:24:00,0.051
03:25:00,0.051
03:26:00,0.051
03:27:00,0.155
03:28:00,0.155
03:29:00,0.155
03:30:00,0.155
03:31:00,0.371
03:32:00,0.371
03:33:00,0.371
03:34:00,0.371
03:35:00,0.371
03:36:00,0.371
03:37:00,0.371
03:38:00,0.371
03:39:00,0.371
03:40:00,0.371
03:41:00,0.371
03:42:00,0.371
03:43:00,0.371
03:44:00,0.371
03:45:00,0.267
03:46:00,0.267
03:47:00,0.267
03:48:00,0.267
03:49:00,0.267
03:50:00,0.267
03:51:00,0.267
03:52:00,0.267
03:53:00,0.051
03:54:00,0.051
03:55:00,0.051
03:56:00,0.051
03:57:00,0.051
03:58:00,0.051
03:59:00,0.051
04:00:00,0.051
04:01:00,0.051
04:02:00,0.051
04:03:00,0.051
04:04:00,0.051
04:05:00,0.051
04:06:00,0.051
04:07:00,0.051
04:08:00,0.051
04:09:00,0.051
04:10:00,0.051
04:11:00,0.051
04:12:00,0.051
04:13:00,0.051
04:14:00,0.051
04:15:00,0.051
04:16:00,0.051
04:17:00,0.051
04:18:00,0.051
04:19:00,0.051
04:20:00,0.051
04:21:00,0.051
04:22:00,0.051
04:23:00,0.051
04:24:00,0.051
04:25:00,0.051
04:26:00,0.051
04:27:00,0.051
04:28:00,0.051
04:29:00,0.051
04:30:00,0.155
04:31:00,0.155
04:32:00,0.155
04:33:00,0.155
04:34:00,0.155
04:35:00,0.155
04:36:00,0.155
04:37:00,0.155
04:38:00,0.155
04:39:00,0.155
04:40:00,0.155
04:41:00,0.155
04:42:00,0.155
04:43:00,0.155
04:44:00,0.155
04:45:00,0.155
04:46:00,0.155
04:47:00,0.155
04:48:00,0.051
04:49:00,0.051
04:50:00,0.051
04:51:00,0.051
04:52:00,0.051
04:53:00,0.051
04:54:00,0.051
04:55:00,0.051
04:56:00,0.051
04:57:00,0.051
04:58:00,0.051
04:59:00,0.051
05:00:00,0.051
05:01:00,0.051
05:02:00,0.051
05:03:00,0.051
05:04:00,0.051
05:05:00,0.051
05:06:00,0.051
05:07:00,0.051
05:08:00,0.051
05:09:00,0.051
05:10:00,0.051
05:11:00,0.051
05:12:00,0.051
05:13:00,0.051
05:14:00,0.051
05:15:00,0.051
05:16:00,0.051
05:17:00,0.051
05:18:00,0.051
05:19:00,0.051
05:20:00,0.051
05:21:00,0.051
05:22:00,0.051
05:23:00,0.051
05:24:00,0.051
05:25:00,0.051
05:26:00,0.051
05:27:00,0.051
05:28:00,0.051
05:29:00,0.051
05:30:00,0.051
05:31:00,0.051
05:32:00,0.051
05:33:00,0.051
05:34:00,0.051
05:35:00,0.051
05:36:00,0.051
05:37:00,0.051
05:38:00,0.051
05:39:00,0.051
05:40:00,0.051
05:41:00,0.155
05:42:00,0.155
05:43:00,0.155
05:44:00,0.155
05:45:00,0.155
05:46:00,0.155
05:47:00,0.155
05:48:00,0.155
05:49:00,0.155
05:50:00,0.155
05:51:00,0.155
05:52:00,0.155
05:53:00,0.155
05:54:00,0.155
05:55:00,0.155
05:56:00,0.155
05:57:00,0.155
05:58:00,0.155
05:59:00,0.051
06:00:00,0.051
06:01:00,0.051
06:02:00,0.051
06:03:00,0.051
06:04:00,0.051
06:05:00,0.051
06:06:00,0.267
06:07:00,0.267
06:08:00,0.267
06:09:00,0.267
