time_step,wind_power_mw
0 days 00:00:00,376.58617274643206
0 days 00:15:00,384.4214561587591
0 days 00:30:00,401.6663516554661
0 days 00:45:00,420.4870011710493
0 days 01:00:00,430.7361427928219
0 days 01:15:00,445.8777438557673
0 days 01:30:00,450.5747371478581
0 days 01:45:00,437.57507103051597
0 days 02:00:00,435.2439669195306
0 days 02:15:00,444.77255976315877
0 days 02:30:00,458.22851601811345
0 days 02:45:00,472.35223687997575
0 days 03:00:00,475.3978293658823
0 days 03:15:00,475.6877324539133
0 days 03:30:00,475.3417072193577
0 days 03:45:00,474.6777178235087
0 days 04:00:00,475.34689008425534
0 days 04:15:00,482.1962760552636
0 days 04:30:00,489.49623156706457
0 days 04:45:00,491.36816818936063
0 days 05:00:00,487.34789042430435
0 days 05:15:00,481.12991197552304
0 days 05:30:00,473.7771751134507
0 days 05:45:00,467.60651136845013
0 days 06:00:00,462.3850356607302
0 days 06:15:00,459.35397973080865
0 days 06:30:00,465.6373001611019
0 days 06:45:00,476.08977030699486
0 days 07:00:00,472.44637400428286
0 days 07:15:00,462.1788864427312
0 days 07:30:00,457.41669230132374
0 days 07:45:00,458.66048787323473
0 days 08:00:00,461.67075100788645
0 days 08:15:00,458.7456831317295
0 days 08:30:00,447.94964265600555
0 days 08:45:00,432.69056478242055
0 days 09:00:00,435.3999146880443
0 days 09:15:00,428.9445350494877
0 days 09:30:00,411.38982671823663
0 days 09:45:00,404.408067527438
0 days 10:00:00,400.0958012612557
0 days 10:15:00,395.2629484173387
0 days 10:30:00,398.4329328553548
0 days 10:45:00,398.123598496351
0 days 11:00:00,390.6330860039387
0 days 11:15:00,395.1422157043917
0 days 11:30:00,392.9541109103733
0 days 11:45:00,382.3949069152444
0 days 12:00:00,385.51115810366065
0 days 12:15:00,375.08776429973994
0 days 12:30:00,358.6103833864091
0 days 12:45:00,344.8617712762325
0 days 13:00:00,341.9062129958023
0 days 13:15:00,344.66917067167043
0 days 13:30:00,331.4728047110763
0 days 13:45:00,280.5339002693462
0 days 14:00:00,223.145610810196
0 days 14:15:00,182.41288412857085
0 days 14:30:00,161.56876622918804
0 days 14:45:00,177.5494310223939
0 days 15:00:00,231.28442509447942
0 days 15:15:00,283.32561905404225
0 days 15:30:00,302.15572464411605
0 days 15:45:00,294.39152315048557
0 days 16:00:00,290.9520574666313
0 days 16:15:00,344.4684348065513
0 days 16:30:00,386.51746976536873
0 days 16:45:00,473.6744917384625
0 days 17:00:00,478.0971819423558
0 days 17:15:00,473.51163455722246
0 days 17:30:00,465.9273409064988
0 days 17:45:00,465.0511187425108
0 days 18:00:00,472.61701655096175
0 days 18:15:00,484.16548870580425
0 days 18:30:00,484.9500027114027
0 days 18:45:00,480.25846727250496
0 days 19:00:00,475.93442455590446
0 days 19:15:00,463.4968887502906
0 days 19:30:00,460.0554452266866
0 days 19:45:00,467.7291827269738
0 days 20:00:00,462.4280830849587
0 days 20:15:00,418.8884375963324
0 days 20:30:00,371.46736529883646
0 days 20:45:00,373.3848619195231
0 days 21:00:00,400.6930191032682
0 days 21:15:00,428.07094323689734
0 days 21:30:00,451.5710596101287
0 days 21:45:00,452.89837802101323
0 days 22:00:00,438.0797597409398
0 days 22:15:00,434.3166492982231
0 days 22:30:00,439.59051983042025
0 days 22:45:00,444.682721284216
0 days 23:00:00,455.42798410512967
0 days 23:15:00,446.08455754362495
0 days 23:30:00,418.62345894307697
0 days 23:45:00,405.7122634095021
